"Player","Team","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Tornike Shengelia","Virtus Bologna",31,860,451,135,229,58.95,24,93,25.81,109,136,80.15,42,113,106,83,29,7,76,-27,51,65,77,145,7,19,0,0,24,93,0,0
"Trey Thompkins","Crvena Zvezda",1,10,3,0,1,0,1,2,50,0,0,NA,1,0,0,0,0,0,2,-20,0,0,0,1,0,0,1,2,0,0,0,0
"Tristan Vukcevic","Partizan",12,113,50,8,14,57.14,6,15,40,16,17,94.12,4,24,6,8,3,5,17,1,3,4,5,9,0,1,1,2,5,13,0,0
"Tyler Dorsey","Fenerbahce",31,553,276,43,100,43,48,105,45.71,46,53,86.79,11,40,41,32,8,4,48,34,12,17,12,43,19,40,5,6,43,99,0,0
"Tyrique Jones","Efes",33,581,241,103,160,64.38,0,0,NA,35,53,66.04,63,77,32,28,26,13,89,-38,65,81,38,77,0,2,0,0,0,0,0,0
"Uros Trifunovic","Partizan",19,264,54,11,20,55,8,25,32,8,8,100,9,19,9,6,5,1,25,-83,4,5,6,9,1,6,5,10,3,14,0,1
"Vanja Marinkovic","Baskonia",32,824,350,49,98,50,68,182,37.36,48,62,77.42,19,62,49,28,11,1,66,-29,17,20,23,56,9,22,8,13,60,167,0,2
"Victor Claver","Valencia",21,311,71,10,23,43.48,15,39,38.46,6,8,75,11,34,13,14,9,0,31,-78,8,10,1,8,1,5,3,7,12,32,0,0
"Vincent Poirier","Real Madrid",32,600,285,112,166,67.47,2,5,40,55,79,69.62,72,102,20,24,13,48,63,75,75,85,35,73,2,8,0,1,2,4,0,0
"Vit Hrabar","Baskonia",1,1,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Vladimir Lucic","Bayern",20,504,152,23,43,53.49,23,50,46,37,40,92.5,9,46,35,23,9,5,29,-26,11,14,8,13,4,16,6,12,17,38,0,0
"Wade Baldwin","Maccabi Tel Aviv",27,763,478,115,243,47.33,39,100,39,131,152,86.18,9,65,131,75,29,4,52,31,27,33,54,127,34,83,3,6,36,93,0,1
